state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
minnesota,"(383.777, 0.74)","(378.569, 0.37)","(368.362, 0.67)","(362.843, 0.67)","(357.391, 0.46)","(349.551, 0.39)","(340.678, 0.42)","(332.61, 0.55)","(326.559, 0.4)","(318.46, 0.3)","(307.845, -0.41)","(315.376, 5.03)","(314.749, 1.07)","(311.814, -9.36)","(312.147, 0.43)","(304.889, 0.24)","(292.16, 0.26)","(280.973, 0.45)","(274.763, 9.64)","(274.478, 0.16)","(257.482, 0.3)","(248.849, 0.19)","(235.678, 0)"
mississippi,"(115.971, 3.18)","(115.606, 0.75)","(114.059, 1.17)","(113.084, -25.7)","(113.128, 1.14)","(112.137, 6.16)","(111.955, 9.25)","(111.834, 0.73)","(110.309, -1.14)","(111.277, 1.42)","(110.491, -0.22)","(115.404, 0.25)","(110.728, 0.32)","(107.277, 0.36)","(104.308, 0.53)","(102.357, 0.45)","(100.067, 0.23)","(95.631, 0.82)","(94.461, 6.89)","(94.324, 1.85)","(93.815, 0.32)","(90.91, 0.32)","(88.044, 0)"
missouri,"(328.401, 0.69)","(323.625, 0.62)","(318.39, 1.44)","(316.18, 4.08)","(315.405, 0.42)","(307.898, 1.66)","(306.046, 0.73)","(301.838, 0.63)","(297.082, -0.71)","(301.244, 0.72)","(297.079, -1.14)","(299.689, 0.38)","(291.802, 1.96)","(290.312, 2.31)","(289.057, 0.76)","(285.248, 0.46)","(279.033, 0.43)","(272.539, 0.62)","(268.134, -6.15)","(268.57, 0.37)","(261.291, 0.31)","(252.773, 0.36)","(245.814, 0)"
montana,"(52.935, 0.4)","(51.597, 0.32)","(49.975, 0.34)","(48.507, -0.43)","(49.648, 0.37)","(48.322, 0.66)","(47.592, 1.21)","(47.198, 0.65)","(46.473, 0.24)","(44.507, 0.23)","(42.578, -0.34)","(43.835, 16.86)","(43.809, 0.16)","(41.093, 0.22)","(39.204, 0.17)","(36.938, 0.18)","(34.877, 0.19)","(33.06, 0.33)","(32.07, 0.52)","(31.458, 0.37)","(30.607, 2.76)","(30.496, 0.22)","(29.14, 0)"
nebraska,"(130.012, 0.42)","(126.932, 1.46)","(126.065, 0.65)","(124.113, 620.57)","(124.111, 0.36)","(120.659, 0.38)","(117.519, 0.5)","(115.19, 1.4)","(114.366, 0.16)","(107.212, 0.25)","(102.934, 1.1)","(101.997, 1.16)","(101.114, 0.29)","(97.578, 0.41)","(95.184, 0.46)","(93.117, 0.33)","(90.297, 0.18)","(85.353, 0.57)","(83.855, 0.33)","(81.298, 0.35)","(78.947, 0.52)","(77.421, 0.37)","(75.319, 0)"
nevada,"(178.199, 0.3)","(172.2, 0.25)","(165.206, 0.29)","(159.588, 0.29)","(154.038, 0.19)","(145.716, 0.95)","(144.185, 1.99)","(143.462, -0.97)","(144.94, 2.87)","(144.435, 0.99)","(142.97, -0.13)","(153.714, -0.26)","(159.614, 1.23)","(158.313, 0.2)","(150.322, 0.11)","(136.982, 0.1)","(122.886, 0.23)","(117.437, 0.27)","(113.095, 0.39)","(110.218, 0.21)","(105.025, 0.13)","(97.088, 0.15)","(90.815, 0)"
new-hampshire,"(87.634, 0.57)","(86.094, 0.47)","(84.257, 0.95)","(83.368, 0.42)","(81.37, 0.27)","(78.323, 0.47)","(76.674, 1.03)","(75.931, 0.73)","(74.886, -10.7)","(74.956, 0.42)","(73.157, 1.07)","(72.472, -0.59)","(73.695, -2.17)","(74.035, 0.44)","(72.36, 1.05)","(71.673, 0.4)","(69.867, 0.29)","(67.443, 0.37)","(65.603, 1.13)","(65.024, 0.19)","(61.554, 0.58)","(60.495, 0.21)","(57.624, 0)"
new-jersey,"(634.784, 0.58)","(623.922, 0.76)","(615.677, -3.39)","(617.493, 0.91)","(610.681, 0.31)","(590.871, -2.99)","(592.847, 0.62)","(583.294, 0.47)","(570.901, -0.79)","(578.172, 1.59)","(574.547, -0.39)","(589.224, 0.98)","(583.193, 1.32)","(578.76, 0.44)","(565.677, 0.94)","(559.648, 0.63)","(550.694, 0.43)","(537.803, 0.44)","(525.657, 0.98)","(520.282, 0.2)","(494.617, 0.28)","(476.719, 0.37)","(464.003, 0)"
new-mexico,"(105.143, 0.32)","(101.867, 0.3)","(98.451, 0.63)","(96.887, -0.88)","(97.992, -0.43)","(100.293, 0.38)","(97.677, -1.36)","(98.394, -1.25)","(99.182, 0.97)","(98.163, 0.77)","(96.887, -0.35)","(99.651, 0.53)","(97.768, 0.75)","(96.473, 0.51)","(94.596, 0.41)","(92.292, 0.14)","(85.487, 0.17)","(80.383, 0.49)","(78.751, -1.16)","(79.427, 0.57)","(78.032, 0.32)","(75.568, -0.21)","(79.175, 0)"
new-york,"(1772.261, 0.48)","(1735.448, 0.3)","(1676.929, 0.48)","(1641.667, 0.35)","(1594.12, 0.32)","(1544.404, 0.37)","(1502.636, 0.89)","(1485.716, 0.21)","(1415.673, -23.52)","(1416.275, 0.25)","(1360.115, 0.28)","(1311.717, -0.37)","(1347.079, 0.89)","(1332.026, 0.41)","(1299.83, 0.33)","(1261.004, 0.37)","(1227.323, 4.46)","(1224.572, -2.53)","(1229.415, 0.45)","(1202.338, 0.32)","(1165.088, 0.21)","(1110.55, 0.42)","(1083.975, 0)"
