year,state,state_abbr,dem_vote,rep_vote,total_vote,dem_percent,rep_percent
1988,oklahoma,ok,483423,678367,1161790,0.4161,0.5839
1988,oregon,or,616206,560126,1176332,0.5238,0.4762
1988,pennsylvania,pa,2194944,2300087,4495031,0.4883,0.5117
1988,rhode-island,ri,225123,177761,402884,0.5588,0.4412
1988,south-carolina,sc,370554,606443,976997,0.3793,0.6207
1988,south-dakota,sd,145560,165415,310975,0.4681,0.5319
1988,tennessee,tn,679794,947233,1627027,0.4178,0.5822
1988,texas,tx,2352748,3036829,5389577,0.4365,0.5635
1988,utah,ut,207343,428442,635785,0.3261,0.6739
1988,vermont,vt,115775,124331,240106,0.4822,0.5178
1988,virginia,va,859799,1309162,2168961,0.3964,0.6036
1988,washington,wa,933516,903835,1837351,0.5081,0.4919
1988,west-virginia,wv,341016,310065,651081,0.5238,0.4762
1988,wisconsin,wi,1126794,1047499,2174293,0.5182,0.4818
1988,wyoming,wy,67113,106867,173980,0.3858,0.6142
1992,alabama,al,690080,804283,1494363,0.4618,0.5382
1992,alaska,ak,78294,102000,180294,0.4343,0.5657
1992,arizona,az,543050,572086,1115136,0.487,0.513
1992,arkansas,ar,505823,337324,843147,0.5999,0.4001
1992,california,ca,5121325,3630574,8751899,0.5852,0.4148
1992,colorado,co,629681,562850,1192531,0.528,0.472
1992,connecticut,ct,682318,578313,1260631,0.5413,0.4587
1992,delaware,de,126054,102313,228367,0.552,0.448
1992,district-of-columbia,dc,192619,20698,213317,0.903,0.097
1992,florida,fl,2071698,2173310,4245008,0.488,0.512
1992,georgia,ga,1008966,995252,2004218,0.5034,0.4966
1992,hawaii,hi,179310,136822,316132,0.5672,0.4328
1992,idaho,id,137013,202645,339658,0.4034,0.5966
1992,illinois,il,2453350,1734096,4187446,0.5859,0.4141
1992,indiana,in,848420,989375,1837795,0.4617,0.5383
1992,iowa,ia,586353,504891,1091244,0.5373,0.4627
1992,kansas,ks,390434,449951,840385,0.4646,0.5354
1992,kentucky,ky,665104,617178,1282282,0.5187,0.4813
1992,louisiana,la,815971,733386,1549357,0.5267,0.4733
1992,maine,me,263420,206504,469924,0.5606,0.4394
1992,maryland,md,988571,707094,1695665,0.583,0.417
1992,massachusetts,ma,1318639,805039,2123678,0.6209,0.3791
1992,michigan,mi,1871182,1554940,3426122,0.5462,0.4538
1992,minnesota,mn,1020997,747841,1768838,0.5772,0.4228
1992,mississippi,ms,400258,487793,888051,0.4507,0.5493
1992,missouri,mo,1053873,811159,1865032,0.5651,0.4349
1992,montana,mt,154507,144207,298714,0.5172,0.4828
1992,nebraska,ne,216864,343678,560542,0.3869,0.6131
1992,nevada,nv,189148,175828,364976,0.5182,0.4818
1992,new-hampshire,nh,209040,202484,411524,0.508,0.492
1992,new-jersey,nj,1436206,1356865,2793071,0.5142,0.4858
1992,new-mexico,nm,261617,212824,474441,0.5514,0.4486
1992,new-york,ny,3346894,2041690,5388584,0.6211,0.3789
1992,north-carolina,nc,1114042,1134661,2248703,0.4954,0.5046
1992,north-dakota,nd,99168,136244,235412,0.4213,0.5787
1992,ohio,oh,1984942,1894310,3879252,0.5117,0.4883
1992,oklahoma,ok,473066,592929,1065995,0.4438,0.5562
1992,oregon,or,621314,475757,1097071,0.5663,0.4337
1992,pennsylvania,pa,2239164,1791841,4031005,0.5555,0.4445
1992,rhode-island,ri,213299,131601,344900,0.6184,0.3816
1992,south-carolina,sc,525514,577507,1103021,0.4764,0.5236
1992,south-dakota,sd,124888,136718,261606,0.4774,0.5226
1992,tennessee,tn,933521,841300,1774821,0.526,0.474
1992,texas,tx,2281815,2496071,4777886,0.4776,0.5224
1992,utah,ut,183429,322632,506061,0.3625,0.6375
1992,vermont,vt,133592,88122,221714,0.6025,0.3975
1992,virginia,va,1038650,1150517,2189167,0.4744,0.5256
1992,washington,wa,993037,731234,1724271,0.5759,0.4241
1992,west-virginia,wv,331001,241974,572975,0.5777,0.4223
1992,wisconsin,wi,1041066,930855,1971921,0.5279,0.4721
1992,wyoming,wy,68160,79347,147507,0.4621,0.5379
1996,alabama,al,662165,769044,1431209,0.4627,0.5373
1996,alaska,ak,80380,122746,203126,0.3957,0.6043
1996,arizona,az,653288,622073,1275361,0.5122,0.4878
1996,arkansas,ar,475171,325416,800587,0.5935,0.4065
1996,california,ca,5119835,3828381,8948216,0.5722,0.4278
1996,colorado,co,671152,691848,1363000,0.4924,0.5076
1996,connecticut,ct,735740,483109,1218849,0.6036,0.3964
1996,delaware,de,140355,99062,239417,0.5862,0.4138
1996,district-of-columbia,dc,158220,17339,175559,0.9012,0.0988
1996,florida,fl,2546870,2244536,4791406,0.5315,0.4685
1996,georgia,ga,1053849,1080843,2134692,0.4937,0.5063
1996,hawaii,hi,205012,113943,318955,0.6428,0.3572
1996,idaho,id,165443,256595,422038,0.392,0.608
1996,illinois,il,2341744,1587021,3928765,0.5961,0.4039
1996,indiana,in,887424,1006693,1894117,0.4685,0.5315
1996,iowa,ia,620258,492644,1112902,0.5573,0.4427
1996,kansas,ks,387659,583245,970904,0.3993,0.6007
1996,kentucky,ky,636614,623283,1259897,0.5053,0.4947
1996,louisiana,la,927837,712586,1640423,0.5656,0.4344
1996,maine,me,312788,186378,499166,0.6266,0.3734
1996,maryland,md,966207,681530,1647737,0.5864,0.4136
1996,massachusetts,ma,1571509,718058,2289567,0.6864,0.3136
1996,michigan,mi,1989653,1481212,3470865,0.5732,0.4268
1996,minnesota,mn,1120380,766395,1886775,0.5938,0.4062
1996,mississippi,ms,394022,439838,833860,0.4725,0.5275
1996,missouri,mo,1025935,890016,1915951,0.5355,0.4645
1996,montana,mt,167922,179652,347574,0.4831,0.5169
1996,nebraska,ne,236761,363467,600228,0.3945,0.6055
1996,nevada,nv,203974,199244,403218,0.5059,0.4941
1996,new-hampshire,nh,246166,196486,442652,0.5561,0.4439
1996,new-jersey,nj,1652361,1103099,2755460,0.5997,0.4003
1996,new-mexico,nm,273495,232751,506246,0.5402,0.4598
1996,new-york,ny,3649630,1738707,5388337,0.6773,0.3227
1996,north-carolina,nc,1107849,1225938,2333787,0.4747,0.5253
1996,north-dakota,nd,106905,125050,231955,0.4609,0.5391
1996,ohio,oh,2148222,1859883,4008105,0.536,0.464
1996,oklahoma,ok,488105,582315,1070420,0.456,0.544
1996,oregon,or,649641,538152,1187793,0.5469,0.4531
1996,pennsylvania,pa,2215819,1801169,4016988,0.5516,0.4484
1996,rhode-island,ri,233050,104683,337733,0.69,0.31
1996,south-carolina,sc,506152,573339,1079491,0.4689,0.5311
1996,south-dakota,sd,139333,150543,289876,0.4807,0.5193
1996,tennessee,tn,909146,863530,1772676,0.5129,0.4871
1996,texas,tx,2459683,2736167,5195850,0.4734,0.5266
1996,utah,ut,221633,361911,583544,0.3798,0.6202
1996,vermont,vt,137894,80352,218246,0.6318,0.3682
1996,virginia,va,1091060,1138350,2229410,0.4894,0.5106
1996,washington,wa,1123323,840712,1964035,0.5719,0.4281
1996,west-virginia,wv,327812,233946,561758,0.5835,0.4165
1996,wisconsin,wi,1071971,845029,1917000,0.5592,0.4408
1996,wyoming,wy,77934,105388,183322,0.4251,0.5749
2000,alabama,al,692611,941173,1633784,0.4239,0.5761
2000,alaska,ak,79004,167398,246402,0.3206,0.6794
2000,arizona,az,685341,781652,1466993,0.4672,0.5328
2000,arkansas,ar,422768,472940,895708,0.472,0.528
2000,california,ca,5861203,4567429,10428632,0.562,0.438
2000,colorado,co,738227,883748,1621975,0.4551,0.5449
2000,connecticut,ct,816015,561094,1377109,0.5926,0.4074
2000,delaware,de,180068,137288,317356,0.5674,0.4326
2000,district-of-columbia,dc,171923,18073,189996,0.9049,0.0951
2000,florida,fl,2912253,2912790,5825043,0.5,0.5
2000,georgia,ga,1116230,1419720,2535950,0.4402,0.5598
2000,hawaii,hi,205286,137845,343131,0.5983,0.4017
2000,idaho,id,138637,336937,475574,0.2915,0.7085
2000,illinois,il,2589026,2019421,4608447,0.5618,0.4382
